Age,Fare,Parch,PassengerId,Pclass,Sex,SibSp,Survived,Deck
4,3,0,73,2,1,0,0.0,M
6,1,0,74,3,1,1,0.0,M
6,3,0,75,3,1,0,1.0,M
4,0,0,76,3,1,0,0.0,FG
4,0,0,77,3,1,0,0.0,M
4,1,0,78,3,1,0,0.0,M
1,2,2,79,2,1,0,1.0,M
6,1,0,80,3,0,0,1.0,M
4,1,0,81,3,1,0,0.0,M
6,1,0,82,3,1,0,1.0,M
4,0,0,83,3,0,0,1.0,M
6,3,0,84,1,1,0,0.0,M
5,1,0,85,2,0,0,1.0,M
6,2,0,86,3,0,3,1.0,M
5,3,3,87,3,1,1,0.0,M
4,1,0,88,3,1,0,0.0,M
4,3,2,89,1,0,3,1.0,ABC
4,1,0,90,3,1,0,0.0,M
6,1,0,91,3,1,0,0.0,M
4,0,0,92,3,1,0,0.0,M
0,3,0,93,1,1,1,0.0,DE
6,2,2,94,3,1,1,0.0,M
0,0,0,95,3,1,0,0.0,M
4,1,0,96,3,1,0,0.0,M
3,3,0,97,1,1,0,0.0,ABC
4,3,1,98,1,1,0,1.0,DE
6,2,1,99,2,0,0,1.0,M
6,2,0,100,2,1,1,0.0,M
6,0,0,101,3,0,0,0.0,M
4,0,0,102,3,1,0,0.0,M
4,3,1,103,1,1,0,0.0,DE
6,1,0,104,3,1,0,0.0,M
0,0,0,105,3,1,2,0.0,M
6,0,0,106,3,1,0,0.0,M
4,0,0,107,3,0,0,1.0,M
4,0,0,108,3,1,0,1.0,M
0,0,0,109,3,1,0,0.0,M
4,2,0,110,3,0,1,1.0,M
0,3,0,111,1,1,0,0.0,ABC
5,1,0,112,3,0,1,0.0,M
4,1,0,113,3,1,0,0.0,M
4,1,0,114,3,0,1,0.0,M
5,1,0,115,3,0,0,0.0,M
4,0,0,116,3,1,0,0.0,M
3,0,0,117,3,1,0,0.0,M
6,2,0,118,2,1,1,0.0,M
4,3,1,119,1,1,0,0.0,ABC
1,3,2,120,3,0,4,0.0,M
4,3,0,121,2,1,2,0.0,M
4,1,0,122,3,1,0,0.0,M
6,2,0,123,2,1,1,0.0,M
6,1,0,124,2,0,0,1.0,DE
0,3,1,125,1,1,0,0.0,DE
2,1,0,126,3,1,1,1.0,M
4,0,0,127,3,1,0,0.0,M
4,0,0,128,3,1,0,1.0,M
4,2,1,129,3,0,1,1.0,FG
0,0,0,130,3,1,0,0.0,M
6,0,0,131,3,1,0,0.0,M
4,0,0,132,3,1,0,0.0,M
0,1,0,133,3,0,1,0.0,M
6,2,0,134,2,0,1,1.0,M
4,1,0,135,2,1,0,0.0,M
4,2,0,136,2,1,0,0.0,M
4,2,2,137,1,0,0,1.0,DE
0,3,0,138,1,1,1,0.0,ABC
5,1,0,139,3,1,0,0.0,M
4,3,0,140,1,1,0,0.0,ABC
4,2,2,141,3,0,0,0.0,M
4,0,0,142,3,0,0,1.0,M
4,2,0,143,3,0,1,1.0,M
4,0,0,144,3,1,0,0.0,M
5,1,0,145,2,1,0,0.0,M
4,3,1,146,2,1,1,0.0,M
6,0,0,147,3,1,0,1.0,M
2,3,2,148,3,0,2,0.0,M
0,2,2,149,2,1,0,0.0,FG
0,1,0,150,2,1,0,0.0,M
0,1,0,151,2,1,0,0.0,M
4,3,0,152,1,0,1,1.0,ABC
0,1,0,153,3,1,0,0.0,M
0,1,2,154,3,1,0,0.0,M
4,0,0,155,3,1,0,0.0,M
0,3,1,156,1,1,0,0.0,M
5,0,0,157,3,0,0,1.0,M
6,1,0,158,3,1,0,0.0,M
4,1,0,159,3,1,0,0.0,M
4,3,2,160,3,1,8,0.0,M
0,2,1,161,3,1,0,0.0,M
0,2,0,162,2,0,0,1.0,M
6,0,0,163,3,1,0,0.0,M
5,1,0,164,3,1,0,0.0,M
1,3,1,165,3,1,4,0.0,M
2,2,2,166,3,1,0,1.0,M
0,3,1,167,1,0,0,1.0,DE
0,2,4,168,3,0,1,0.0,M
0,2,0,169,1,1,0,0.0,M
6,3,0,170,3,1,0,0.0,M
3,3,0,171,1,1,0,0.0,ABC
1,2,1,172,3,1,4,0.0,M
1,1,1,173,3,0,1,1.0,M
4,0,0,174,3,1,0,0.0,M
0,2,0,175,1,1,0,0.0,ABC
5,0,1,176,3,1,1,0.0,M
4,2,1,177,3,1,3,0.0,M
0,2,0,178,1,0,0,0.0,ABC
6,1,0,179,2,1,0,0.0,M
0,4,0,180,3,1,0,0.0,M
4,3,2,181,3,0,8,0.0,M
6,2,0,182,2,1,0,0.0,M
2,3,2,183,3,1,4,0.0,M
1,3,1,184,2,1,2,1.0,FG
1,2,2,185,3,0,0,1.0,M
0,3,0,186,1,1,0,0.0,ABC
4,2,0,187,3,0,1,1.0,M
0,2,0,188,1,1,0,1.0,M
0,2,1,189,3,1,1,0.0,M
0,0,0,190,3,1,0,0.0,M
6,1,0,191,2,0,0,1.0,M
4,1,0,192,2,1,0,0.0,M
4,0,0,193,3,0,1,1.0,M
1,2,1,194,2,1,1,1.0,FG
0,2,0,195,1,0,0,1.0,ABC
0,3,0,196,1,0,0,1.0,ABC
4,0,0,197,3,1,0,0.0,M
0,1,1,198,3,1,0,0.0,M
4,0,0,199,3,0,0,1.0,M
4,1,0,200,2,0,0,0.0,M
6,1,0,201,3,1,0,0.0,M
4,3,2,202,3,1,8,0.0,M
6,0,0,203,3,1,0,0.0,M
0,0,0,204,3,1,0,0.0,M
5,1,0,205,3,1,0,1.0,M
1,1,1,206,3,0,0,0.0,FG
6,2,0,207,3,1,1,0.0,M
6,2,0,208,3,1,0,1.0,M
5,0,0,209,3,0,0,1.0,M
0,2,0,210,1,1,0,1.0,ABC
4,0,0,211,3,1,0,0.0,M
6,2,0,212,2,0,0,1.0,M
4,0,0,213,3,1,0,0.0,M
6,1,0,214,2,1,0,0.0,M
4,0,0,215,3,1,1,0.0,M
6,3,0,216,1,0,1,1.0,DE
6,0,0,217,3,0,0,1.0,M
0,2,0,218,2,1,1,0.0,M
6,3,0,219,1,0,0,1.0,DE
6,1,0,220,2,1,0,0.0,M
5,1,0,221,3,1,0,1.0,M
6,1,0,222,2,1,0,0.0,M
0,1,0,223,3,1,0,0.0,M
4,0,0,224,3,1,0,0.0,M
0,3,0,225,1,1,1,1.0,ABC
4,1,0,226,3,1,0,0.0,M
4,1,0,227,2,1,0,1.0,M
4,0,0,228,3,1,0,0.0,M
5,1,0,229,2,1,0,0.0,M
4,2,1,230,3,0,3,0.0,M
6,3,0,231,1,0,1,1.0,ABC
6,0,0,232,3,1,0,0.0,M
0,1,0,233,2,1,0,0.0,M
1,3,2,234,3,0,4,1.0,M
4,1,0,235,2,1,0,0.0,M
4,0,0,236,3,0,0,0.0,M
0,2,0,237,2,1,1,0.0,M
2,2,2,238,2,0,0,1.0,M
4,1,0,239,2,1,0,0.0,M
6,1,0,240,2,1,0,0.0,M
4,1,0,241,3,0,1,0.0,M
4,2,0,242,3,0,1,1.0,M
6,1,0,243,2,1,0,0.0,M
4,0,0,244,3,1,0,0.0,M
6,0,0,245,3,1,0,0.0,M
0,3,0,246,1,1,2,0.0,ABC
4,0,0,247,3,0,0,0.0,M
4,1,2,248,2,0,0,1.0,M
0,3,1,249,1,1,1,1.0,DE
0,2,0,250,2,1,1,0.0,M
4,0,0,251,3,1,0,0.0,M
6,1,1,252,3,0,1,0.0,FG
3,2,0,253,1,1,0,0.0,ABC
6,2,0,254,3,1,1,0.0,M
0,2,2,255,3,0,0,0.0,M
6,2,2,256,3,0,0,1.0,M
0,3,0,257,1,0,0,1.0,M
6,3,0,258,1,0,0,1.0,ABC
6,3,0,259,1,0,0,1.0,M
0,2,1,260,2,0,0,1.0,M
4,0,0,261,3,1,0,0.0,M
1,3,2,262,3,1,4,1.0,M
0,3,1,263,1,1,1,0.0,DE
0,4,0,264,1,1,0,0.0,ABC
4,0,0,265,3,0,0,0.0,M
0,1,0,266,2,1,0,0.0,M
5,3,1,267,3,1,4,0.0,M
4,0,0,268,3,1,1,1.0,M
0,3,1,269,1,0,0,1.0,ABC
6,3,0,270,1,0,0,1.0,ABC
0,2,0,271,1,1,0,0.0,M
4,4,0,272,3,1,0,1.0,M
0,2,1,273,2,0,0,1.0,M
0,2,1,274,1,1,0,0.0,ABC
4,0,0,275,3,0,0,1.0,M
3,3,0,276,1,0,1,1.0,DE
0,0,0,277,3,0,0,0.0,M
6,4,0,278,2,1,0,0.0,M
2,2,1,279,3,1,4,0.0,M
6,2,1,280,3,0,1,1.0,M
3,0,0,281,3,1,0,0.0,M
6,0,0,282,3,1,0,0.0,M
5,1,0,283,3,1,0,0.0,M
4,1,0,284,3,1,0,1.0,M
0,2,0,285,1,1,0,0.0,ABC
6,1,0,286,3,1,0,0.0,M
6,1,0,287,3,1,0,1.0,M
4,0,0,288,3,1,0,0.0,M
0,1,0,289,2,1,0,1.0,M
4,0,0,290,3,0,0,1.0,M
6,3,0,291,1,0,0,1.0,M
4,3,0,292,1,0,1,1.0,ABC
0,1,0,293,2,1,0,0.0,DE
4,1,0,294,3,0,0,0.0,M
4,0,0,295,3,1,0,0.0,M
0,2,0,296,1,1,0,0.0,M
4,0,0,297,3,1,0,0.0,M
1,3,2,298,1,0,1,0.0,ABC
0,2,0,299,1,1,0,1.0,ABC
0,3,1,300,1,0,0,1.0,ABC
4,0,0,301,3,0,0,1.0,M
4,2,0,302,3,1,2,1.0,M
4,4,0,303,3,1,0,0.0,M
6,1,0,304,2,0,0,1.0,DE
4,1,0,305,3,1,0,0.0,M
1,3,2,306,1,1,1,1.0,ABC
0,3,0,307,1,0,0,1.0,M
5,3,0,308,1,0,1,1.0,ABC
6,2,0,309,2,1,1,0.0,M
6,3,0,310,1,0,0,1.0,DE
4,3,0,311,1,0,0,1.0,ABC
5,3,2,312,1,0,2,1.0,ABC
6,2,1,313,2,0,1,0.0,M
6,0,0,314,3,1,0,0.0,M
0,2,1,315,2,1,1,0.0,M
6,0,0,316,3,0,0,1.0,M
4,2,0,317,2,0,1,1.0,M
0,1,0,318,2,1,0,0.0,M
6,3,2,319,1,0,0,1.0,ABC
0,3,1,320,1,0,1,1.0,DE
4,0,0,321,3,1,0,0.0,M
6,0,0,322,3,1,0,0.0,M
6,1,0,323,2,0,0,1.0,M
4,2,1,324,2,0,1,1.0,M
4,3,2,325,3,1,8,0.0,M
0,3,0,326,1,0,0,1.0,ABC
3,0,0,327,3,1,0,0.0,M
0,1,0,328,2,0,0,1.0,DE
6,2,1,329,3,0,1,1.0,M
5,3,1,330,1,0,0,1.0,ABC
4,2,0,331,3,0,2,1.0,M
0,2,0,332,1,1,0,0.0,ABC
0,3,1,333,1,1,0,0.0,ABC
5,2,0,334,3,1,2,0.0,M
0,3,0,335,1,0,1,1.0,M
4,0,0,336,3,1,0,0.0,M
6,3,0,337,1,1,1,0.0,ABC
0,3,0,338,1,0,0,1.0,DE
0,1,0,339,3,1,0,1.0,M
0,3,0,340,1,1,0,0.0,ABC
1,2,1,341,2,1,1,1.0,FG
4,3,2,342,1,0,3,1.0,ABC
6,1,0,343,2,1,0,0.0,M
4,1,0,344,2,1,0,0.0,M
0,1,0,345,2,1,0,0.0,M
4,1,0,346,2,0,0,1.0,FG
0,1,0,347,2,0,0,1.0,M
4,2,0,348,3,0,1,1.0,M
1,2,1,349,3,1,1,1.0,M
0,1,0,350,3,1,0,0.0,M
4,1,0,351,3,1,0,0.0,M
0,3,0,352,1,1,0,0.0,ABC
5,0,1,353,3,1,1,0.0,M
4,2,0,354,3,1,1,0.0,M
4,0,0,355,3,1,0,0.0,M
6,1,0,356,3,1,0,0.0,M
4,3,1,357,1,0,0,1.0,DE
0,1,0,358,2,0,0,0.0,M
4,0,0,359,3,0,0,1.0,M
4,0,0,360,3,0,0,1.0,M
0,2,4,361,3,1,1,0.0,M
6,2,0,362,2,1,1,0.0,M
0,1,1,363,3,0,0,0.0,M
6,0,0,364,3,1,0,0.0,M
4,2,0,365,3,1,1,0.0,M
6,0,0,366,3,1,0,0.0,M
0,3,0,367,1,0,1,1.0,DE
4,0,0,368,3,0,0,1.0,M
4,0,0,369,3,0,0,1.0,M
4,3,0,370,1,0,0,1.0,ABC
4,3,0,371,1,1,1,1.0,DE
5,0,0,372,3,1,1,0.0,M
4,1,0,373,3,1,0,0.0,M
4,3,0,374,1,1,0,0.0,M
1,2,1,375,3,0,3,0.0,M
0,3,0,376,1,0,1,1.0,M
4,0,0,377,3,0,0,1.0,M
6,3,2,378,1,1,0,0.0,ABC
4,0,0,379,3,1,0,0.0,M
4,0,0,380,3,1,0,0.0,M
0,3,0,381,1,0,0,1.0,M
1,2,2,382,3,0,0,1.0,M
6,0,0,383,3,1,0,0.0,M
6,3,0,384,1,0,1,1.0,M
4,0,0,385,3,1,0,0.0,M
5,3,0,386,2,1,0,0.0,M
1,3,2,387,3,1,5,0.0,M
0,1,0,388,2,0,0,1.0,M
4,0,0,389,3,1,0,0.0,M
5,1,0,390,2,0,0,1.0,M
0,3,2,391,1,1,1,1.0,ABC
4,0,0,392,3,1,0,1.0,M
6,0,0,393,3,1,2,0.0,M
4,3,0,394,1,0,1,1.0,DE
4,2,2,395,3,0,0,1.0,FG
4,0,0,396,3,1,0,0.0,M
6,0,0,397,3,0,0,0.0,M
0,2,0,398,2,1,0,0.0,M
4,1,0,399,2,1,0,0.0,M
6,1,0,400,2,0,0,1.0,M
0,0,0,401,3,1,0,1.0,M
6,1,0,402,3,1,0,0.0,M
4,1,0,403,3,0,1,0.0,M
6,2,0,404,3,1,1,0.0,M
4,1,0,405,3,0,0,0.0,M
6,2,0,406,2,1,1,0.0,M
0,0,0,407,3,1,0,0.0,M
1,2,1,408,2,1,1,1.0,M
4,0,0,409,3,1,0,0.0,M
4,2,1,410,3,0,3,0.0,M
4,0,0,411,3,1,0,0.0,M
4,0,0,412,3,1,0,0.0,M
6,3,0,413,1,0,1,1.0,ABC
6,4,0,414,2,1,0,0.0,M
0,0,0,415,3,1,0,1.0,M
4,1,0,416,3,0,0,0.0,M
6,3,1,417,2,0,1,1.0,M
5,1,2,418,2,0,0,1.0,M
6,1,0,419,2,1,0,0.0,M
2,2,2,420,3,0,0,0.0,M
4,0,0,421,3,1,0,0.0,M
4,0,0,422,3,1,0,0.0,M
6,0,0,423,3,1,0,0.0,M
6,1,1,424,3,0,1,0.0,M
5,2,1,425,3,1,1,0.0,M
4,0,0,426,3,1,0,0.0,M
6,2,0,427,2,0,1,1.0,M
4,2,0,428,2,0,0,1.0,M
4,0,0,429,3,1,0,0.0,M
6,1,0,430,3,1,0,1.0,DE
6,2,0,431,1,1,0,1.0,ABC
4,2,0,432,3,0,1,1.0,M
0,2,0,433,2,0,1,1.0,M
5,0,0,434,3,1,0,0.0,M
0,3,0,435,1,1,1,0.0,DE
5,3,2,436,1,0,1,1.0,ABC
4,3,2,437,3,0,2,0.0,M
4,2,3,438,2,0,2,1.0,M
3,3,4,439,1,1,1,0.0,ABC
6,1,0,440,2,1,0,0.0,M
0,2,1,441,2,0,1,1.0,M
4,1,0,442,3,1,0,0.0,M
4,0,0,443,3,1,1,0.0,M
6,1,0,444,2,0,0,1.0,M
4,1,0,445,3,1,0,1.0,M
1,3,2,446,1,1,0,1.0,ABC
5,2,1,447,2,0,0,1.0,M
6,2,0,448,1,1,0,1.0,M
1,2,1,449,3,0,2,1.0,M
0,2,0,450,1,1,0,1.0,ABC
0,2,2,451,2,1,1,0.0,M
4,2,0,452,3,1,1,0.0,M
6,2,0,453,1,1,0,0.0,ABC
0,3,0,454,1,1,1,1.0,ABC
4,1,0,455,3,1,0,0.0,M
6,0,0,456,3,1,0,1.0,M
3,2,0,457,1,1,0,0.0,DE
0,3,0,458,1,0,1,1.0,DE
0,1,0,459,2,0,0,1.0,M
4,0,0,460,3,1,0,0.0,M
0,2,0,461,1,1,0,1.0,DE
6,1,0,462,3,1,0,0.0,M
0,3,0,463,1,1,0,0.0,DE
0,1,0,464,2,1,0,0.0,M
4,1,0,465,3,1,0,0.0,M
0,0,0,466,3,1,0,0.0,M
6,4,0,467,2,1,0,0.0,M
0,2,0,468,1,1,0,0.0,M
4,0,0,469,3,1,0,0.0,M
1,2,1,470,3,0,2,1.0,M
4,0,0,471,3,1,0,0.0,M
0,1,0,472,3,1,0,0.0,M
6,2,2,473,2,0,1,1.0,M
4,1,0,474,2,0,0,1.0,DE
4,1,0,475,3,0,0,0.0,M
0,3,0,476,1,1,0,0.0,ABC
6,2,0,477,2,1,1,0.0,M
6,0,0,478,3,1,1,0.0,M
4,0,0,479,3,1,0,0.0,M
1,1,1,480,3,0,0,1.0,M
2,3,2,481,3,1,5,0.0,M
6,4,0,482,2,1,0,0.0,M
0,1,0,483,3,1,0,0.0,M
3,1,0,484,3,0,0,1.0,M
4,3,0,485,1,1,1,1.0,ABC
4,2,1,486,3,0,3,0.0,M
6,3,0,487,1,0,1,1.0,ABC
0,2,0,488,1,1,0,0.0,ABC
6,1,0,489,3,1,0,0.0,M
2,2,1,490,3,1,1,1.0,M
4,2,0,491,3,1,1,0.0,M
4,0,0,492,3,1,0,0.0,M
0,2,0,493,1,1,0,0.0,ABC
3,3,0,494,1,1,0,0.0,M
4,1,0,495,3,1,0,0.0,M
4,1,0,496,3,1,0,0.0,M
0,3,0,497,1,0,1,1.0,DE
4,2,0,498,3,1,0,0.0,M
4,3,2,499,1,0,1,0.0,ABC
4,0,0,500,3,1,0,0.0,M
5,1,0,501,3,1,0,0.0,M
4,0,0,502,3,0,0,0.0,M
4,0,0,503,3,0,0,0.0,M
0,1,0,504,3,0,0,0.0,M
5,3,0,505,1,0,0,1.0,ABC
5,3,0,506,1,1,1,0.0,ABC
6,2,2,507,2,0,0,1.0,M
0,2,0,508,1,1,0,1.0,M
6,2,0,509,3,1,0,0.0,M
6,3,0,510,3,1,0,1.0,M
6,0,0,511,3,1,0,1.0,M
4,1,0,512,3,1,0,0.0,M
0,2,0,513,1,1,0,1.0,DE
0,3,0,514,1,0,1,1.0,M
4,0,0,515,3,1,0,0.0,M
0,3,0,516,1,1,0,0.0,DE
6,1,0,517,2,0,0,1.0,FG
4,2,0,518,3,1,0,0.0,M
0,2,0,519,2,0,1,1.0,M
6,0,0,520,3,1,0,0.0,M
6,3,0,521,1,0,0,1.0,ABC
4,0,0,522,3,1,0,0.0,M
4,0,0,523,3,1,0,0.0,M
0,3,1,524,1,0,0,1.0,ABC
4,0,0,525,3,1,0,0.0,M
0,0,0,526,3,1,0,0.0,M
0,1,0,527,2,0,0,1.0,M
0,3,0,528,1,1,0,0.0,ABC
0,0,0,529,3,1,0,0.0,M
4,1,1,530,2,1,2,0.0,M
1,2,1,531,2,0,1,1.0,M
4,0,0,532,3,1,0,0.0,M
5,0,1,533,3,1,1,0.0,M
4,2,2,534,3,0,0,1.0,M
6,1,0,535,3,0,0,0.0,M
2,2,2,536,2,0,0,1.0,M
0,2,0,537,1,1,0,0.0,ABC
6,3,0,538,1,0,0,1.0,M
4,1,0,539,3,1,0,0.0,M
4,3,2,540,1,0,0,1.0,ABC
0,3,2,541,1,0,0,1.0,ABC
2,3,2,542,3,0,4,0.0,M
2,3,2,543,3,0,4,0.0,M
6,2,0,544,2,1,1,1.0,M
0,3,0,545,1,1,1,0.0,ABC
3,2,0,546,1,1,0,0.0,M
4,2,0,547,2,0,1,1.0,M
6,1,0,548,2,1,0,1.0,M
6,2,1,549,3,1,1,0.0,M
2,3,1,550,2,1,1,1.0,M
5,3,2,551,1,1,0,1.0,ABC
6,2,0,552,2,1,0,0.0,M
4,0,0,553,3,1,0,0.0,M
4,0,0,554,3,1,0,1.0,M
4,0,0,555,3,0,0,1.0,M
3,2,0,556,1,1,0,0.0,M
0,3,0,557,1,0,1,1.0,ABC
0,3,0,558,1,1,0,0.0,M
0,3,1,559,1,0,1,1.0,DE
0,2,0,560,3,0,1,1.0,M
4,0,0,561,3,1,0,0.0,M
0,0,0,562,3,1,0,0.0,M
6,1,0,563,2,1,0,0.0,M
4,1,0,564,3,1,0,0.0,M
4,1,0,565,3,0,0,0.0,M
4,2,0,566,3,1,2,0.0,M
4,0,0,567,3,1,0,0.0,M
6,2,4,568,3,0,0,0.0,M
4,0,0,569,3,1,0,0.0,M
6,0,0,570,3,1,0,1.0,M
3,1,0,571,2,1,0,1.0,M
0,3,0,572,1,0,2,1.0,ABC
0,2,0,573,1,1,0,1.0,DE
4,0,0,574,3,0,0,1.0,M
5,1,0,575,3,1,0,0.0,M
4,1,0,576,3,1,0,0.0,M
6,1,0,577,2,0,0,1.0,M
0,3,0,578,1,0,1,1.0,DE
4,1,0,579,3,0,1,0.0,M
6,0,0,580,3,1,0,1.0,M
4,2,1,581,2,0,1,1.0,M
0,3,1,582,1,0,1,1.0,ABC
0,2,0,583,2,1,0,0.0,M
0,3,0,584,1,1,0,0.0,ABC
4,1,0,585,3,1,0,0.0,M
5,3,2,586,1,0,0,1.0,DE
0,1,0,587,2,1,0,0.0,M
0,3,1,588,1,1,1,1.0,ABC
4,1,0,589,3,1,0,0.0,M
4,1,0,590,3,1,0,0.0,M
6,0,0,591,3,1,0,0.0,M
0,3,0,592,1,0,1,1.0,DE
0,0,0,593,3,1,0,0.0,M
4,0,2,594,3,0,0,0.0,M
0,2,0,595,2,1,1,0.0,M
0,2,1,596,3,1,1,0.0,M
6,3,0,597,2,0,0,1.0,M
0,4,0,598,3,1,0,0.0,M
4,0,0,599,3,1,0,0.0,M
0,3,0,600,1,1,1,1.0,ABC
4,2,1,601,2,0,2,1.0,M
4,0,0,602,3,1,0,0.0,M
0,3,0,603,1,1,0,0.0,M
0,1,0,604,3,1,0,0.0,M
6,2,0,605,1,1,0,1.0,M
0,2,0,606,3,1,1,0.0,M
6,0,0,607,3,1,0,0.0,M
6,2,0,608,1,1,0,1.0,M
4,3,2,609,2,0,1,1.0,M
0,3,0,610,1,0,0,1.0,ABC
0,3,5,611,3,0,1,0.0,M
4,0,0,612,3,1,0,0.0,M
4,2,0,613,3,0,1,1.0,M
4,0,0,614,3,1,0,0.0,M
6,1,0,615,3,1,0,0.0,M
4,3,2,616,2,0,1,1.0,M
6,1,1,617,3,1,1,0.0,M
6,2,0,618,3,0,1,0.0,M
1,3,1,619,2,0,2,1.0,FG
6,1,0,620,2,1,0,0.0,M
6,1,0,621,3,1,1,0.0,M
0,3,0,622,1,1,1,1.0,DE
4,2,1,623,3,1,1,1.0,M
4,0,0,624,3,1,0,0.0,M
4,2,0,625,3,1,0,0.0,M
3,3,0,626,1,1,0,0.0,DE
0,1,0,627,2,1,0,0.0,M
4,3,0,628,1,0,0,1.0,DE
6,0,0,629,3,1,0,0.0,M
4,0,0,630,3,1,0,0.0,M
3,2,0,631,1,1,0,1.0,ABC
0,0,0,632,3,1,0,0.0,M
6,2,0,633,1,1,0,1.0,ABC
0,4,0,634,1,1,0,0.0,M
2,2,2,635,3,0,3,0.0,M
6,1,0,636,2,0,0,1.0,M
6,0,0,637,3,1,0,0.0,M
6,2,1,638,2,1,1,0.0,M
0,3,5,639,3,0,0,0.0,M
4,2,0,640,3,1,1,0.0,M
4,0,0,641,3,1,0,0.0,M
4,3,0,642,1,0,0,1.0,ABC
1,2,2,643,3,0,3,0.0,M
4,3,0,644,3,1,0,1.0,M
1,2,1,645,3,0,2,1.0,M
0,3,0,646,1,1,1,1.0,DE
4,0,0,647,3,1,0,0.0,M
0,3,0,648,1,1,0,1.0,ABC
4,0,0,649,3,1,0,0.0,M
4,0,0,650,3,0,0,1.0,M
4,0,0,651,3,1,0,0.0,M
5,2,1,652,2,0,0,1.0,M
4,1,0,653,3,1,0,0.0,M
4,0,0,654,3,0,0,1.0,M
5,0,0,655,3,0,0,0.0,M
4,3,0,656,2,1,2,0.0,M
4,0,0,657,3,1,0,0.0,M
6,2,1,658,3,0,1,0.0,M
4,1,0,659,2,1,0,0.0,M
0,3,2,660,1,1,0,0.0,DE
0,3,0,661,1,1,2,1.0,M
0,0,0,662,3,1,0,0.0,M
0,2,0,663,1,1,0,0.0,DE
0,0,0,664,3,1,0,0.0,M
4,0,0,665,3,1,1,1.0,M
6,3,0,666,2,1,2,0.0,M
4,1,0,667,2,1,0,0.0,M
4,0,0,668,3,1,0,0.0,M
0,1,0,669,3,1,0,0.0,M
0,3,0,670,1,0,1,1.0,ABC
0,3,1,671,2,0,1,1.0,M
6,3,0,672,1,1,1,0.0,ABC
3,1,0,673,2,1,0,0.0,M
6,1,0,674,2,1,0,1.0,M
6,4,0,675,2,1,0,0.0,M
5,0,0,676,3,1,0,0.0,M
4,1,0,677,3,1,0,0.0,M
5,1,0,678,3,0,0,1.0,M
0,3,6,679,3,0,1,0.0,M
0,3,1,680,1,1,0,1.0,ABC
4,1,0,681,3,0,0,0.0,M
6,3,0,682,1,1,0,1.0,DE
4,1,0,683,3,1,0,0.0,M
