Age,Fare,Parch,PassengerId,Pclass,Sex,SibSp,Survived,Ticket,Deck,Family_Size,Ticket_Frequency,Title,Sex_1,Sex_2
6,2,0,34,2,male,0,0.0,C.A. 24579,M,1,1,3,0.0,1.0
4,4,0,35,1,male,1,0.0,PC 17604,M,2,2,3,0.0,1.0
5,4,0,36,1,male,1,0.0,113789,M,2,2,3,0.0,1.0
3,1,0,37,3,male,0,1.0,2677,M,1,1,3,0.0,1.0
3,2,0,38,3,male,0,0.0,A./5. 2152,M,1,1,3,0.0,1.0
2,3,0,39,3,female,2,0.0,345764,M,3,2,2,1.0,0.0
2,2,0,40,3,female,1,1.0,2651,M,2,2,2,1.0,0.0
5,2,0,41,3,female,1,0.0,7546,M,2,1,2,1.0,0.0
4,3,0,42,2,female,1,0.0,11668,M,2,2,2,1.0,0.0
3,1,0,43,3,male,0,0.0,349253,M,1,1,3,0.0,1.0
0,4,2,44,2,female,1,1.0,SC/Paris 2123,M,4,4,2,1.0,0.0
3,1,0,45,3,female,0,1.0,330958,M,1,1,2,1.0,0.0
3,2,0,46,3,male,0,0.0,S.C./A.4. 23567,M,1,1,3,0.0,1.0
3,3,0,47,3,male,1,0.0,370371,M,2,2,3,0.0,1.0
3,1,0,48,3,female,0,1.0,14311,M,1,1,2,1.0,0.0
3,3,0,49,3,male,2,0.0,2662,M,3,3,3,0.0,1.0
2,3,0,50,3,female,1,0.0,349237,M,2,2,2,1.0,0.0
1,4,1,51,3,male,4,0.0,3101295,M,6,7,1,0.0,1.0
3,1,0,52,3,male,0,0.0,A/4. 39886,M,1,1,3,0.0,1.0
5,4,0,53,1,female,1,1.0,PC 17572,DE,2,3,2,1.0,0.0
4,3,0,54,2,female,1,1.0,2926,M,2,2,2,1.0,0.0
6,4,1,55,1,male,0,0.0,113509,ABC,2,2,3,0.0,1.0
5,4,0,56,1,male,0,1.0,19947,ABC,1,1,3,0.0,1.0
3,2,0,57,2,female,0,1.0,C.A. 31026,M,1,1,2,1.0,0.0
4,1,0,58,3,male,0,0.0,2697,M,1,1,3,0.0,1.0
0,3,2,59,2,female,1,1.0,C.A. 34651,M,4,4,2,1.0,0.0
1,4,2,60,3,male,5,0.0,CA 2144,M,8,8,1,0.0,1.0
3,1,0,61,3,male,0,0.0,2669,M,1,1,3,0.0,1.0
5,4,0,62,1,female,0,1.0,113572,ABC,1,2,2,1.0,0.0
5,4,0,63,1,male,1,0.0,36973,ABC,2,2,3,0.0,1.0
0,3,2,64,3,male,3,0.0,347088,M,6,6,1,0.0,1.0
5,3,0,65,1,male,0,0.0,PC 17605,M,1,1,3,0.0,1.0
3,3,1,66,3,male,1,1.0,2661,M,3,3,1,0.0,1.0
4,2,0,67,2,female,0,1.0,C.A. 29395,FG,1,1,2,1.0,0.0
3,2,0,68,3,male,0,0.0,S.P. 3464,M,1,1,3,0.0,1.0
2,1,2,69,3,female,4,1.0,3101281,M,7,1,2,1.0,0.0
4,2,0,70,3,male,2,0.0,315151,M,3,1,3,0.0,1.0
4,2,0,71,2,male,0,0.0,C.A. 33111,M,1,1,3,0.0,1.0
2,4,2,72,3,female,5,0.0,CA 2144,M,8,8,2,1.0,0.0
3,4,0,73,2,male,0,0.0,S.O.C. 14879,M,1,7,3,0.0,1.0
4,2,0,74,3,male,1,0.0,2680,M,2,2,3,0.0,1.0
4,4,0,75,3,male,0,1.0,1601,M,1,8,3,0.0,1.0
3,1,0,76,3,male,0,0.0,348123,FG,1,1,3,0.0,1.0
3,1,0,77,3,male,0,0.0,349208,M,1,1,3,0.0,1.0
3,2,0,78,3,male,0,0.0,374746,M,1,1,3,0.0,1.0
0,3,2,79,2,male,0,1.0,248738,M,3,3,1,0.0,1.0
4,2,0,80,3,female,0,1.0,364516,M,1,2,2,1.0,0.0
3,2,0,81,3,male,0,0.0,345767,M,1,1,3,0.0,1.0
4,2,0,82,3,male,0,1.0,345779,M,1,1,3,0.0,1.0
3,1,0,83,3,female,0,1.0,330932,M,1,1,2,1.0,0.0
4,4,0,84,1,male,0,0.0,113059,M,1,2,3,0.0,1.0
2,2,0,85,2,female,0,1.0,SO/C 14885,M,1,1,2,1.0,0.0
4,3,0,86,3,female,3,1.0,3101278,M,4,2,2,1.0,0.0
2,4,3,87,3,male,1,0.0,W./C. 6608,M,5,5,3,0.0,1.0
3,2,0,88,3,male,0,0.0,SOTON/OQ 392086,M,1,1,3,0.0,1.0
3,4,2,89,1,female,3,1.0,19950,ABC,6,6,2,1.0,0.0
3,2,0,90,3,male,0,0.0,343275,M,1,1,3,0.0,1.0
4,2,0,91,3,male,0,0.0,343276,M,1,1,3,0.0,1.0
3,1,0,92,3,male,0,0.0,347466,M,1,1,3,0.0,1.0
5,4,0,93,1,male,1,0.0,W.E.P. 5734,DE,2,2,3,0.0,1.0
4,3,2,94,3,male,1,0.0,C.A. 2315,M,4,4,3,0.0,1.0
5,1,0,95,3,male,0,0.0,364500,M,1,1,3,0.0,1.0
3,2,0,96,3,male,0,0.0,374910,M,1,1,3,0.0,1.0
6,4,0,97,1,male,0,0.0,PC 17754,ABC,1,1,3,0.0,1.0
3,4,1,98,1,male,0,1.0,PC 17759,DE,2,2,3,0.0,1.0
4,3,1,99,2,female,0,1.0,231919,M,2,2,2,1.0,0.0
4,3,0,100,2,male,1,0.0,244367,M,2,2,3,0.0,1.0
4,1,0,101,3,female,0,0.0,349245,M,1,1,2,1.0,0.0
3,1,0,102,3,male,0,0.0,349215,M,1,1,3,0.0,1.0
3,4,1,103,1,male,0,0.0,35281,DE,2,2,3,0.0,1.0
4,2,0,104,3,male,0,0.0,7540,M,1,1,3,0.0,1.0
5,1,0,105,3,male,2,0.0,3101276,M,3,1,3,0.0,1.0
4,1,0,106,3,male,0,0.0,349207,M,1,1,3,0.0,1.0
3,1,0,107,3,female,0,1.0,343120,M,1,1,2,1.0,0.0
3,1,0,108,3,male,0,1.0,312991,M,1,1,3,0.0,1.0
5,1,0,109,3,male,0,0.0,349249,M,1,1,3,0.0,1.0
3,3,0,110,3,female,1,1.0,371110,M,2,3,2,1.0,0.0
5,4,0,111,1,male,0,0.0,110465,ABC,1,2,3,0.0,1.0
2,2,0,112,3,female,1,0.0,2665,M,2,2,2,1.0,0.0
3,2,0,113,3,male,0,0.0,324669,M,1,1,3,0.0,1.0
3,2,0,114,3,female,1,0.0,4136,M,2,1,2,1.0,0.0
2,2,0,115,3,female,0,0.0,2627,M,1,2,2,1.0,0.0
3,1,0,116,3,male,0,0.0,STON/O 2. 3101294,M,1,1,3,0.0,1.0
6,1,0,117,3,male,0,0.0,370369,M,1,1,3,0.0,1.0
4,3,0,118,2,male,1,0.0,11668,M,2,2,3,0.0,1.0
3,4,1,119,1,male,0,0.0,PC 17558,ABC,2,3,3,0.0,1.0
0,4,2,120,3,female,4,0.0,347082,M,7,7,2,1.0,0.0
3,4,0,121,2,male,2,0.0,S.O.C. 14879,M,3,7,3,0.0,1.0
3,2,0,122,3,male,0,0.0,A4. 54510,M,1,1,3,0.0,1.0
4,3,0,123,2,male,1,0.0,237736,M,2,2,3,0.0,1.0
4,2,0,124,2,female,0,1.0,27267,DE,1,1,2,1.0,0.0
5,4,1,125,1,male,0,0.0,35281,DE,2,2,3,0.0,1.0
1,2,0,126,3,male,1,1.0,2651,M,2,2,1,0.0,1.0
3,1,0,127,3,male,0,0.0,370372,M,1,1,3,0.0,1.0
3,1,0,128,3,male,0,1.0,C 17369,M,1,1,3,0.0,1.0
3,3,1,129,3,female,1,1.0,2668,FG,3,3,2,1.0,0.0
5,1,0,130,3,male,0,0.0,347061,M,1,1,3,0.0,1.0
4,1,0,131,3,male,0,0.0,349241,M,1,1,3,0.0,1.0
3,1,0,132,3,male,0,0.0,SOTON/O.Q. 3101307,M,1,1,3,0.0,1.0
5,2,0,133,3,female,1,0.0,A/5. 3337,M,2,2,2,1.0,0.0
4,3,0,134,2,female,1,1.0,228414,M,2,2,2,1.0,0.0
3,2,0,135,2,male,0,0.0,C.A. 29178,M,1,1,3,0.0,1.0
3,3,0,136,2,male,0,0.0,SC/PARIS 2133,M,1,1,3,0.0,1.0
3,3,2,137,1,female,0,1.0,11752,DE,3,1,2,1.0,0.0
5,4,0,138,1,male,1,0.0,113803,ABC,2,2,3,0.0,1.0
2,2,0,139,3,male,0,0.0,7534,M,1,2,3,0.0,1.0
3,4,0,140,1,male,0,0.0,PC 17593,ABC,1,2,3,0.0,1.0
3,3,2,141,3,female,0,0.0,2678,M,3,3,2,1.0,0.0
3,1,0,142,3,female,0,1.0,347081,M,1,1,2,1.0,0.0
3,3,0,143,3,female,1,1.0,STON/O2. 3101279,M,2,2,2,1.0,0.0
3,1,0,144,3,male,0,0.0,365222,M,1,1,3,0.0,1.0
2,2,0,145,2,male,0,0.0,231945,M,1,1,3,0.0,1.0
3,4,1,146,2,male,1,0.0,C.A. 33112,M,3,4,3,0.0,1.0
4,1,0,147,3,male,0,1.0,350043,M,1,1,3,0.0,1.0
1,4,2,148,3,female,2,0.0,W./C. 6608,M,5,5,2,1.0,0.0
5,3,2,149,2,male,0,0.0,230080,FG,3,3,3,0.0,1.0
5,2,0,150,2,male,0,0.0,244310,M,1,1,0,0.0,1.0
5,2,0,151,2,male,0,0.0,S.O.P. 1166,M,1,1,0,0.0,1.0
3,4,0,152,1,female,1,1.0,113776,ABC,2,2,2,1.0,0.0
5,2,0,153,3,male,0,0.0,A.5. 11206,M,1,1,3,0.0,1.0
5,2,2,154,3,male,0,0.0,A/5. 851,M,3,3,3,0.0,1.0
3,1,0,155,3,male,0,0.0,Fa 265302,M,1,1,3,0.0,1.0
5,4,1,156,1,male,0,0.0,PC 17597,M,2,2,3,0.0,1.0
2,1,0,157,3,female,0,1.0,35851,M,1,1,2,1.0,0.0
4,2,0,158,3,male,0,0.0,SOTON/OQ 392090,M,1,1,3,0.0,1.0
3,2,0,159,3,male,0,0.0,315037,M,1,1,3,0.0,1.0
3,4,2,160,3,male,8,0.0,CA. 2343,M,11,11,1,0.0,1.0
5,3,1,161,3,male,0,0.0,371362,M,2,2,3,0.0,1.0
5,3,0,162,2,female,0,1.0,C.A. 33595,M,1,2,2,1.0,0.0
4,1,0,163,3,male,0,0.0,347068,M,1,1,3,0.0,1.0
2,2,0,164,3,male,0,0.0,315093,M,1,1,3,0.0,1.0
0,4,1,165,3,male,4,0.0,3101295,M,6,7,1,0.0,1.0
1,3,2,166,3,male,0,1.0,363291,M,3,3,1,0.0,1.0
5,4,1,167,1,female,0,1.0,113505,DE,2,2,2,1.0,0.0
5,3,4,168,3,female,1,0.0,347088,M,6,6,2,1.0,0.0
5,3,0,169,1,male,0,0.0,PC 17318,M,1,1,3,0.0,1.0
4,4,0,170,3,male,0,0.0,1601,M,1,8,3,0.0,1.0
6,4,0,171,1,male,0,0.0,111240,ABC,1,1,3,0.0,1.0
0,3,1,172,3,male,4,0.0,382652,M,6,6,1,0.0,1.0
0,2,1,173,3,female,1,1.0,347742,M,3,3,2,1.0,0.0
3,1,0,174,3,male,0,0.0,STON/O 2. 3101280,M,1,1,3,0.0,1.0
5,3,0,175,1,male,0,0.0,17764,ABC,1,1,3,0.0,1.0
2,1,1,176,3,male,1,0.0,350404,M,3,1,3,0.0,1.0
3,3,1,177,3,male,3,0.0,4133,M,5,5,1,0.0,1.0
5,3,0,178,1,female,0,0.0,PC 17595,ABC,1,1,2,1.0,0.0
4,2,0,179,2,male,0,0.0,250653,M,1,1,3,0.0,1.0
5,0,0,180,3,male,0,0.0,LINE,M,1,4,3,0.0,1.0
3,4,2,181,3,female,8,0.0,CA. 2343,M,11,11,2,1.0,0.0
4,3,0,182,2,male,0,0.0,SC/PARIS 2131,M,1,1,3,0.0,1.0
1,4,2,183,3,male,4,0.0,347077,M,7,7,1,0.0,1.0
0,4,1,184,2,male,2,1.0,230136,FG,4,4,1,0.0,1.0
0,3,2,185,3,female,0,1.0,315153,M,3,3,2,1.0,0.0
5,4,0,186,1,male,0,0.0,113767,ABC,1,1,3,0.0,1.0
3,3,0,187,3,female,1,1.0,370365,M,2,2,2,1.0,0.0
5,3,0,188,1,male,0,1.0,111428,M,1,1,3,0.0,1.0
5,3,1,189,3,male,1,0.0,364849,M,3,2,3,0.0,1.0
5,1,0,190,3,male,0,0.0,349247,M,1,1,3,0.0,1.0
4,2,0,191,2,female,0,1.0,234604,M,1,1,2,1.0,0.0
3,2,0,192,2,male,0,0.0,28424,M,1,1,3,0.0,1.0
3,1,0,193,3,female,1,1.0,350046,M,2,1,2,1.0,0.0
0,3,1,194,2,male,1,1.0,230080,FG,3,3,1,0.0,1.0
5,3,0,195,1,female,0,1.0,PC 17610,ABC,1,1,2,1.0,0.0
5,4,0,196,1,female,0,1.0,PC 17569,ABC,1,3,2,1.0,0.0
3,1,0,197,3,male,0,0.0,368703,M,1,1,3,0.0,1.0
5,2,1,198,3,male,0,0.0,4579,M,2,1,3,0.0,1.0
3,1,0,199,3,female,0,1.0,370370,M,1,1,2,1.0,0.0
3,2,0,200,2,female,0,0.0,248747,M,1,1,2,1.0,0.0
4,2,0,201,3,male,0,0.0,345770,M,1,1,3,0.0,1.0
3,4,2,202,3,male,8,0.0,CA. 2343,M,11,11,3,0.0,1.0
4,1,0,203,3,male,0,0.0,3101264,M,1,1,3,0.0,1.0
5,1,0,204,3,male,0,0.0,2628,M,1,1,3,0.0,1.0
2,2,0,205,3,male,0,1.0,A/5 3540,M,1,1,3,0.0,1.0
0,2,1,206,3,female,0,0.0,347054,FG,2,2,2,1.0,0.0
4,3,0,207,3,male,1,0.0,3101278,M,2,2,3,0.0,1.0
4,3,0,208,3,male,0,1.0,2699,M,1,2,3,0.0,1.0
2,1,0,209,3,female,0,1.0,367231,M,1,1,2,1.0,0.0
5,3,0,210,1,male,0,1.0,112277,ABC,1,1,3,0.0,1.0
3,1,0,211,3,male,0,0.0,SOTON/O.Q. 3101311,M,1,1,3,0.0,1.0
4,3,0,212,2,female,0,1.0,F.C.C. 13528,M,1,2,2,1.0,0.0
3,1,0,213,3,male,0,0.0,A/5 21174,M,1,1,3,0.0,1.0
4,2,0,214,2,male,0,0.0,250646,M,1,1,3,0.0,1.0
3,1,0,215,3,male,1,0.0,367229,M,2,1,3,0.0,1.0
4,4,0,216,1,female,1,1.0,35273,DE,2,3,2,1.0,0.0
4,1,0,217,3,female,0,1.0,STON/O2. 3101283,M,1,1,2,1.0,0.0
5,3,0,218,2,male,1,0.0,243847,M,2,2,3,0.0,1.0
4,4,0,219,1,female,0,1.0,11813,DE,1,2,2,1.0,0.0
4,2,0,220,2,male,0,0.0,W/C 14208,M,1,1,3,0.0,1.0
2,2,0,221,3,male,0,1.0,SOTON/OQ 392089,M,1,1,3,0.0,1.0
4,2,0,222,2,male,0,0.0,220367,M,1,1,3,0.0,1.0
5,2,0,223,3,male,0,0.0,21440,M,1,1,3,0.0,1.0
3,1,0,224,3,male,0,0.0,349234,M,1,1,3,0.0,1.0
5,4,0,225,1,male,1,1.0,19943,ABC,2,2,3,0.0,1.0
3,2,0,226,3,male,0,0.0,PP 4348,M,1,1,3,0.0,1.0
3,2,0,227,2,male,0,1.0,SW/PP 751,M,1,1,3,0.0,1.0
3,1,0,228,3,male,0,0.0,A/5 21173,M,1,1,3,0.0,1.0
2,2,0,229,2,male,0,0.0,236171,M,1,1,3,0.0,1.0
3,3,1,230,3,female,3,0.0,4133,M,5,5,2,1.0,0.0
4,4,0,231,1,female,1,1.0,36973,ABC,2,2,2,1.0,0.0
4,1,0,232,3,male,0,0.0,347067,M,1,1,3,0.0,1.0
5,2,0,233,2,male,0,0.0,237442,M,1,1,3,0.0,1.0
0,4,2,234,3,female,4,1.0,347077,M,7,7,2,1.0,0.0
3,2,0,235,2,male,0,0.0,C.A. 29566,M,1,1,3,0.0,1.0
3,1,0,236,3,female,0,0.0,W./C. 6609,M,1,1,2,1.0,0.0
5,3,0,237,2,male,1,0.0,26707,M,2,2,3,0.0,1.0
1,3,2,238,2,female,0,1.0,C.A. 31921,M,3,3,2,1.0,0.0
3,2,0,239,2,male,0,0.0,28665,M,1,1,3,0.0,1.0
4,2,0,240,2,male,0,0.0,SCO/W 1585,M,1,1,3,0.0,1.0
3,2,0,241,3,female,1,0.0,2665,M,2,2,2,1.0,0.0
3,3,0,242,3,female,1,1.0,367230,M,2,2,2,1.0,0.0
4,2,0,243,2,male,0,0.0,W./C. 14263,M,1,1,3,0.0,1.0
3,1,0,244,3,male,0,0.0,STON/O 2. 3101275,M,1,1,3,0.0,1.0
4,1,0,245,3,male,0,0.0,2694,M,1,1,3,0.0,1.0
5,4,0,246,1,male,2,0.0,19928,ABC,3,3,0,0.0,1.0
3,1,0,247,3,female,0,0.0,347071,M,1,1,2,1.0,0.0
3,2,2,248,2,female,0,1.0,250649,M,3,2,2,1.0,0.0
5,4,1,249,1,male,1,1.0,11751,DE,3,2,3,0.0,1.0
5,3,0,250,2,male,1,0.0,244252,M,2,2,0,0.0,1.0
3,1,0,251,3,male,0,0.0,362316,M,1,1,3,0.0,1.0
4,2,1,252,3,female,1,0.0,347054,FG,3,2,2,1.0,0.0
6,3,0,253,1,male,0,0.0,113514,ABC,1,1,3,0.0,1.0
4,3,0,254,3,male,1,0.0,A/5. 3336,M,2,2,3,0.0,1.0
5,3,2,255,3,female,0,0.0,370129,M,3,3,2,1.0,0.0
4,3,2,256,3,female,0,1.0,2650,M,3,3,2,1.0,0.0
5,4,0,257,1,female,0,1.0,PC 17585,M,1,2,2,1.0,0.0
4,4,0,258,1,female,0,1.0,110152,ABC,1,3,2,1.0,0.0
4,4,0,259,1,female,0,1.0,PC 17755,M,1,4,2,1.0,0.0
5,3,1,260,2,female,0,1.0,230433,M,2,2,2,1.0,0.0
3,1,0,261,3,male,0,0.0,384461,M,1,1,3,0.0,1.0
0,4,2,262,3,male,4,1.0,347077,M,7,7,1,0.0,1.0
5,4,1,263,1,male,1,0.0,110413,DE,3,3,3,0.0,1.0
5,0,0,264,1,male,0,0.0,112059,ABC,1,1,3,0.0,1.0
3,1,0,265,3,female,0,0.0,382649,M,1,1,2,1.0,0.0
5,2,0,266,2,male,0,0.0,C.A. 17248,M,1,1,3,0.0,1.0
2,4,1,267,3,male,4,0.0,3101295,M,6,7,3,0.0,1.0
3,1,0,268,3,male,1,1.0,347083,M,2,1,3,0.0,1.0
5,4,1,269,1,female,0,1.0,PC 17582,ABC,2,3,2,1.0,0.0
4,4,0,270,1,female,0,1.0,PC 17760,ABC,1,4,2,1.0,0.0
5,3,0,271,1,male,0,0.0,113798,M,1,2,3,0.0,1.0
3,0,0,272,3,male,0,1.0,LINE,M,1,4,3,0.0,1.0
5,3,1,273,2,female,0,1.0,250644,M,2,2,2,1.0,0.0
5,3,1,274,1,male,0,0.0,PC 17596,ABC,2,1,3,0.0,1.0
3,1,0,275,3,female,0,1.0,370375,M,1,1,2,1.0,0.0
6,4,0,276,1,female,1,1.0,13502,DE,2,3,2,1.0,0.0
5,1,0,277,3,female,0,0.0,347073,M,1,1,2,1.0,0.0
4,0,0,278,2,male,0,0.0,239853,M,1,3,3,0.0,1.0
1,3,1,279,3,male,4,0.0,382652,M,6,6,1,0.0,1.0
4,3,1,280,3,female,1,1.0,C.A. 2673,M,3,3,2,1.0,0.0
6,1,0,281,3,male,0,0.0,336439,M,1,1,3,0.0,1.0
4,1,0,282,3,male,0,0.0,347464,M,1,1,3,0.0,1.0
2,2,0,283,3,male,0,0.0,345778,M,1,1,3,0.0,1.0
3,2,0,284,3,male,0,1.0,A/5. 10482,M,1,1,3,0.0,1.0
5,3,0,285,1,male,0,0.0,113056,ABC,1,1,3,0.0,1.0
4,2,0,286,3,male,0,0.0,349239,M,1,1,3,0.0,1.0
4,2,0,287,3,male,0,1.0,345774,M,1,1,3,0.0,1.0
3,1,0,288,3,male,0,0.0,349206,M,1,1,3,0.0,1.0
5,2,0,289,2,male,0,1.0,237798,M,1,1,3,0.0,1.0
3,1,0,290,3,female,0,1.0,370373,M,1,1,2,1.0,0.0
4,4,0,291,1,female,0,1.0,19877,M,1,3,2,1.0,0.0
3,4,0,292,1,female,1,1.0,11967,ABC,2,2,2,1.0,0.0
5,2,0,293,2,male,0,0.0,SC/Paris 2163,DE,1,1,3,0.0,1.0
3,2,0,294,3,female,0,0.0,349236,M,1,1,2,1.0,0.0
3,1,0,295,3,male,0,0.0,349233,M,1,1,3,0.0,1.0
5,3,0,296,1,male,0,0.0,PC 17612,M,1,1,3,0.0,1.0
3,1,0,297,3,male,0,0.0,2693,M,1,1,3,0.0,1.0
0,4,2,298,1,female,1,0.0,113781,ABC,4,6,2,1.0,0.0
5,3,0,299,1,male,0,1.0,19988,ABC,1,1,3,0.0,1.0
5,4,1,300,1,female,0,1.0,PC 17558,ABC,2,3,2,1.0,0.0
3,1,0,301,3,female,0,1.0,9234,M,1,1,2,1.0,0.0
3,3,0,302,3,male,2,1.0,367226,M,3,3,3,0.0,1.0
3,0,0,303,3,male,0,0.0,LINE,M,1,4,3,0.0,1.0
4,2,0,304,2,female,0,1.0,226593,DE,1,1,2,1.0,0.0
3,2,0,305,3,male,0,0.0,A/5 2466,M,1,1,3,0.0,1.0
0,4,2,306,1,male,1,1.0,113781,ABC,4,6,1,0.0,1.0
5,4,0,307,1,female,0,1.0,17421,M,1,4,2,1.0,0.0
2,4,0,308,1,female,1,1.0,PC 17758,ABC,2,3,2,1.0,0.0
4,3,0,309,2,male,1,0.0,P/PP 3381,M,2,2,3,0.0,1.0
4,4,0,310,1,female,0,1.0,PC 17485,DE,1,2,2,1.0,0.0
3,4,0,311,1,female,0,1.0,11767,ABC,1,3,2,1.0,0.0
2,4,2,312,1,female,2,1.0,PC 17608,ABC,5,7,2,1.0,0.0
4,3,1,313,2,female,1,0.0,250651,M,3,2,2,1.0,0.0
4,1,0,314,3,male,0,0.0,349243,M,1,1,3,0.0,1.0
5,3,1,315,2,male,1,0.0,F.C.C. 13529,M,3,3,3,0.0,1.0
4,1,0,316,3,female,0,1.0,347470,M,1,1,2,1.0,0.0
3,3,0,317,2,female,1,1.0,244367,M,2,2,2,1.0,0.0
5,2,0,318,2,male,0,0.0,29011,M,1,1,0,0.0,1.0
4,4,2,319,1,female,0,1.0,36928,ABC,3,4,2,1.0,0.0
5,4,1,320,1,female,1,1.0,16966,DE,3,5,2,1.0,0.0
3,1,0,321,3,male,0,0.0,A/5 21172,M,1,1,3,0.0,1.0
4,1,0,322,3,male,0,0.0,349219,M,1,1,3,0.0,1.0
4,2,0,323,2,female,0,1.0,234818,M,1,1,2,1.0,0.0
3,3,1,324,2,female,1,1.0,248738,M,3,3,2,1.0,0.0
3,4,2,325,3,male,8,0.0,CA. 2343,M,11,11,3,0.0,1.0
5,4,0,326,1,female,0,1.0,PC 17760,ABC,1,4,2,1.0,0.0
6,1,0,327,3,male,0,0.0,345364,M,1,1,3,0.0,1.0
5,2,0,328,2,female,0,1.0,28551,DE,1,1,2,1.0,0.0
4,3,1,329,3,female,1,1.0,363291,M,3,3,2,1.0,0.0
2,4,1,330,1,female,0,1.0,111361,ABC,2,2,2,1.0,0.0
3,3,0,331,3,female,2,1.0,367226,M,3,3,2,1.0,0.0
5,3,0,332,1,male,0,0.0,113043,ABC,1,1,3,0.0,1.0
5,4,1,333,1,male,0,0.0,PC 17582,ABC,2,3,3,0.0,1.0
2,3,0,334,3,male,2,0.0,345764,M,3,2,3,0.0,1.0
5,4,0,335,1,female,1,1.0,PC 17611,M,2,2,2,1.0,0.0
3,1,0,336,3,male,0,0.0,349225,M,1,1,3,0.0,1.0
4,4,0,337,1,male,1,0.0,113776,ABC,2,2,3,0.0,1.0
5,4,0,338,1,female,0,1.0,16966,DE,1,5,2,1.0,0.0
5,2,0,339,3,male,0,1.0,7598,M,1,1,3,0.0,1.0
5,4,0,340,1,male,0,0.0,113784,ABC,1,1,3,0.0,1.0
0,3,1,341,2,male,1,1.0,230080,FG,3,3,1,0.0,1.0
3,4,2,342,1,female,3,1.0,19950,ABC,6,6,2,1.0,0.0
4,2,0,343,2,male,0,0.0,248740,M,1,1,3,0.0,1.0
3,2,0,344,2,male,0,0.0,244361,M,1,1,3,0.0,1.0
5,2,0,345,2,male,0,0.0,229236,M,1,1,3,0.0,1.0
3,2,0,346,2,female,0,1.0,248733,FG,1,1,2,1.0,0.0
5,2,0,347,2,female,0,1.0,31418,M,1,1,2,1.0,0.0
3,3,0,348,3,female,1,1.0,386525,M,2,2,2,1.0,0.0
0,3,1,349,3,male,1,1.0,C.A. 37671,M,3,3,1,0.0,1.0
5,2,0,350,3,male,0,0.0,315088,M,1,1,3,0.0,1.0
3,2,0,351,3,male,0,0.0,7267,M,1,1,3,0.0,1.0
5,4,0,352,1,male,0,0.0,113510,ABC,1,1,3,0.0,1.0
2,1,1,353,3,male,1,0.0,2695,M,3,1,3,0.0,1.0
3,3,0,354,3,male,1,0.0,349237,M,2,2,3,0.0,1.0
3,1,0,355,3,male,0,0.0,2647,M,1,1,3,0.0,1.0
4,2,0,356,3,male,0,0.0,345783,M,1,1,3,0.0,1.0
3,4,1,357,1,female,0,1.0,113505,DE,2,2,2,1.0,0.0
